1true/false,Unnamed: 0,claim,prompts,GPT_Response_1,gpt_t,gpt_f,id,,,predicted,,,,
TRUE,104,Ancient Chinese ink could hold a surprising new way to kill cancer cells.,"Read the claim below, then answer the question at the end:

Claim: Ancient Chinese ink could hold a surprising new way to kill cancer cells.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",The claim is TRUE.,1,,7215,,,,,,,
TRUE,105,A single transistor can alternate between optical and electrical signal output.,"Read the claim below, then answer the question at the end:

Claim: A single transistor can alternate between optical and electrical signal output.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7217,,,,,,,
TRUE,106,The strongest organic acid ever is made from proteins.,"Read the claim below, then answer the question at the end:

Claim: The strongest organic acid ever is made from proteins.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7218,,,,,,,
TRUE,107,Parkinson's is linked to gut bacteria.,"Read the claim below, then answer the question at the end:

Claim: Parkinson's is linked to gut bacteria.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7219,,,,,,,
TRUE,108,Electrons Have Been Caught Disappearing And Reappearing Between Atomic Layers,"Read the claim below, then answer the question at the end:

Claim: Electrons Have Been Caught Disappearing And Reappearing Between Atomic Layers
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7220,,,,,,,
TRUE,109,AI can analyze mammogram results 30 times faster than doctors and with 99% accuracy.,"Read the claim below, then answer the question at the end:

Claim: AI can analyze mammogram results 30 times faster than doctors and with 99% accuracy.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7222,,,,,,,
TRUE,110,Mars's gullies aren't formed by flowing water.,"Read the claim below, then answer the question at the end:

Claim: Mars's gullies aren't formed by flowing water.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7224,,,,,,,
TRUE,111,Jupiter's moon Io's atmosphere collapses every single day as Jupiter eclipses it.,"Read the claim below, then answer the question at the end:

Claim: Jupiter's moon Io's atmosphere collapses every single day as Jupiter eclipses it.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7225,,,,,,,
TRUE,112,"Golden nano-grid could lead to clearer, more sensitive touchscreens.","Read the claim below, then answer the question at the end:

Claim: Golden nano-grid could lead to clearer, more sensitive touchscreens.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7228,,,,,,,
TRUE,113,Mars could have at least two ancient reservoirs of water underground.,"Read the claim below, then answer the question at the end:

Claim: Mars could have at least two ancient reservoirs of water underground.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7229,,,,,,,
TRUE,114,Cybercriminals are on the prowl to infect your mobile devices while you charge them.,"Read the claim below, then answer the question at the end:

Claim: Cybercriminals are on the prowl to infect your mobile devices while you charge them.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7230,,,,,,,
TRUE,115,Marsquakes are very similar to earthquakes.,"Read the claim below, then answer the question at the end:

Claim: Marsquakes are very similar to earthquakes.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7231,,,,,,,
TRUE,116,Black holes emit radiation.,"Read the claim below, then answer the question at the end:

Claim: Black holes emit radiation.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7232,,,,,,,
TRUE,117,Not All Ancient Fishers Were Men,"Read the claim below, then answer the question at the end:

Claim: Not All Ancient Fishers Were Men
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7235,,,,,,,
TRUE,118,Ovarian cancer can be detected in your breath.,"Read the claim below, then answer the question at the end:

Claim: Ovarian cancer can be detected in your breath.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7236,,,,,,,
TRUE,119,Havana Syndrome is not a mass psychological illness.,"Read the claim below, then answer the question at the end:

Claim: Havana Syndrome is not a mass psychological illness.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7237,,,,,,,
TRUE,120,Dingoes migrated to Australia twice.,"Read the claim below, then answer the question at the end:

Claim: Dingoes migrated to Australia twice.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7238,,,,,,,
TRUE,121,Beetles can be engineered to have a third eye.,"Read the claim below, then answer the question at the end:

Claim: Beetles can be engineered to have a third eye.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7239,,,,,,,
TRUE,122,"A $75,000 yearly salary is the point at which happiness begins to plateau.","Read the claim below, then answer the question at the end:

Claim: A $75,000 yearly salary is the point at which happiness begins to plateau.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7241,,,,,,,
TRUE,123,Daydreamers exhibit higher levels of intelligence and creativity.,"Read the claim below, then answer the question at the end:

Claim: Daydreamers exhibit higher levels of intelligence and creativity.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7242,,,,,,,
TRUE,124,"Orcas can be taught to ""say"" human words. ","Read the claim below, then answer the question at the end:

Claim: Orcas can be taught to ""say"" human words. 
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7243,,,,,,,
TRUE,125,We Have Footage of Tardigrade Mating,"Read the claim below, then answer the question at the end:

Claim: We Have Footage of Tardigrade Mating
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7244,,,,,,,
TRUE,126,A method to detect 99% of ocean plastic waste has been proposed.,"Read the claim below, then answer the question at the end:

Claim: A method to detect 99% of ocean plastic waste has been proposed.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7245,,,,,,,
TRUE,127,Marine ecosystems can survive mass extinction events.,"Read the claim below, then answer the question at the end:

Claim: Marine ecosystems can survive mass extinction events.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7246,,,,,,,
TRUE,128,Most animals used in experiments never appear in published research.,"Read the claim below, then answer the question at the end:

Claim: Most animals used in experiments never appear in published research.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7251,,,,,,,
TRUE,129,Genes influence free will.,"Read the claim below, then answer the question at the end:

Claim: Genes influence free will.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7253,,,,,,,
TRUE,130,Giving up on meat won't save the planet.,"Read the claim below, then answer the question at the end:

Claim: Giving up on meat won't save the planet.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7255,,,,,,,
TRUE,131,There is currently no good evidence that red meat is harmful to health.,"Read the claim below, then answer the question at the end:

Claim: There is currently no good evidence that red meat is harmful to health.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7256,,,,,,,
TRUE,132,"Scientists simulated 100,000 different futures and each of them solely depends on us.","Read the claim below, then answer the question at the end:

Claim: Scientists simulated 100,000 different futures and each of them solely depends on us.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7257,,,,,,,
TRUE,133,Traditional approaches like fighting fires and fuel management can't solve the wildfire problem in California.,"Read the claim below, then answer the question at the end:

Claim: Traditional approaches like fighting fires and fuel management can't solve the wildfire problem in California.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7259,,,,,,,
TRUE,134,Logging forests to halt wildfires would do more harm than good.,"Read the claim below, then answer the question at the end:

Claim: Logging forests to halt wildfires would do more harm than good.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7260,,,,,,,
TRUE,135,Majority of experts cited in online news are men.,"Read the claim below, then answer the question at the end:

Claim: Majority of experts cited in online news are men.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7261,,,,,,,
TRUE,136,A new device can immediately target and destroy deadly blood clots.,"Read the claim below, then answer the question at the end:

Claim: A new device can immediately target and destroy deadly blood clots.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",The claim is TRUE.,1,,7267,,,,,,,
TRUE,137,Having more sex will not make you happier.,"Read the claim below, then answer the question at the end:

Claim: Having more sex will not make you happier.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7268,,,,,,,
,,,,,,,,,,,,,,
